,headline,url,date
95,"A full-scale humanitarian crisis is unfolding in Ethiopia, the UN says",https://www.cnn.com/2020/11/17/africa/un-humanitarian-crisis-ethiopia-intl/index.html,2020-11-17
96,Ethiopia says it has seized another Tigray town as conflict embroils Eritrea,https://www.cnn.com/2020/11/16/africa/ethiopia-seized-town-tigray-embroils-eritrea-intl/index.html,2020-11-16
97,"Forces from Ethiopia's Tigray region bombed Eritrean capital, Tigray leader says",https://www.cnn.com/2020/11/15/africa/eritrea-tigray-bombing-intl/index.html,2020-11-15
98,Two missiles target Ethiopian airports as Tigray conflict widens,https://www.cnn.com/2020/11/14/africa/ethiopia-airport-tigray-intl/index.html,2020-11-14
99,War crimes feared in Ethiopia's Tigray conflict,https://www.cnn.com/2020/11/13/africa/african-union-chief-sacks-security-head-ethiopia-intl/index.html,2020-11-13
100,Thousands are fleeing into Sudan to escape deadly conflict in Ethiopia,https://www.cnn.com/2020/11/11/africa/ethiopia-refugees-tigray-intl/index.html,2020-11-11
101,Concern of outright war in Ethiopia grows as PM presses military offensive,https://www.cnn.com/2020/11/09/africa/ethiopia-tigray-war-concerns-intl/index.html,2020-11-09
102,"Air strikes in Ethiopia's Tigray region will continue, PM says",https://www.cnn.com/2020/11/07/africa/ethiopia-tigray-abiy-ahmed-intl/index.html,2020-11-07
103,Six things that happened while the world watched the US election,https://www.cnn.com/2020/11/07/world/what-you-missed-during-us-election-intl/index.html,2020-11-07
104,Ethiopia Prime Minister says Tigray military ops 'limited' as Sudan closes border,https://www.cnn.com/2020/11/06/africa/ethiopia-abiy-sudan-border/index.html,2020-11-06
105,"5 things to know for November 6: Election, vote fallout, down-ballot, Covid, Ethiopia",https://www.cnn.com/2020/11/06/us/five-things-november-6-trnd/index.html,2020-11-06
106,Why are there fears of civil war in Ethiopia?,https://www.cnn.com/2020/11/05/africa/ethiopia-abiy-unrest-explainer-intl/index.html,2020-11-05
107,Ethiopia's Abiy resists diplomatic pressure to halt offensive,https://www.cnn.com/2020/11/05/africa/abiy-diplomatic-pressure-offensive/index.html,2020-11-05
108,Ethiopia's Nobel laureate leader vows 'military confrontation' with restive region,https://www.cnn.com/2020/11/04/africa/ethiopia-military-tigray-region-intl/index.html,2020-11-04
